falso,falso,vero,falso,qualcuno,$$,falso,vero,thai,10-29,falso
falso,falso,vero,falso,pieno,$,vero,falso,francese,30-60,falso
falso,vero,vero,falso,qualcuno,$,falso,vero,italiano,10-29,falso
vero,vero,falso,vero,qualcuno,$,vero,falso,italiano,30-60,falso
falso,vero,vero,falso,qualcuno,$$$,vero,falso,fast-food,30-60,falso
falso,falso,vero,falso,pieno,$,falso,vero,francese,>60,falso
vero,falso,vero,falso,pieno,$$,falso,vero,francese,10-29,vero
vero,vero,vero,falso,nessuno,$$,falso,vero,italiano,>60,falso
falso,falso,vero,vero,nessuno,$,falso,falso,thai,>60,falso
falso,falso,vero,falso,nessuno,$$$,vero,falso,fast-food,30-60,falso
